pc1,pc2,sparsity
-0.2585333,0.102852106,1
0.121873476,0.014294053,2
-0.11539498,-0.09527363,1
-0.12106587,0.28111234,1
-0.3397802,-0.2440867,48
-0.029206175,-0.2085359,4
0.39343017,0.15928727,1
-0.097017564,0.08922786,2
-0.33577427,0.16416629,16
-0.14019309,-0.19913231,16
-0.39917886,0.053196993,256
-0.1377637,-0.08499723,4
-0.284953,-0.087809876,214
0.517698,0.14173083,1
-0.0328974,-0.16556254,8
-0.32120118,0.0017961864,2
0.27076507,-0.10152057,1
-0.0016220284,-0.11330795,2
-0.35951588,-0.023930363,128
0.2915994,-0.1371491,2
0.17366445,-0.00558202,1
-0.3815291,-0.042331472,256
-0.036507975,0.036583237,8
0.31104136,-0.015346405,1
-0.31522778,0.13985905,1
0.43168756,0.02783783,1
-0.27868447,-0.16790716,64
0.5851241,0.015027282,1
-0.36279982,0.26921576,2
-0.25375518,0.1707153,256
-0.36230728,-0.030072697,16
-0.31985024,0.17067263,256
-0.058425184,-0.06776192,16
0.24950185,0.18331145,2
0.05543132,0.19446626,8
-0.042597875,0.12203133,2
-0.38199642,-0.008335896,256
0.05608407,-0.22929335,2
0.015624298,0.19334503,4
-0.059909392,-0.096789524,2
-0.03814556,-0.0688462,1
0.2825087,-0.05372492,1
-0.15031627,-0.031754054,2
-0.24927746,-0.041811984,2
-0.27919382,0.03380563,4
-0.19285825,0.103906676,2
-0.056594104,-0.086317115,4
-0.19374867,-0.058199786,4
-0.13352428,-0.056910753,2
0.025874741,-0.06659735,2
-0.20371817,0.07955786,1
-0.35579312,0.13688993,32
-0.30086112,-0.069079846,4
-0.26795116,-0.052666165,16
0.4127111,0.049063187,1
0.5095209,-0.089887574,2
-0.25741237,-0.20571387,4
-0.16163364,0.142103,2
0.48562458,0.08873732,1
0.52420783,-0.059408437,1
0.20091276,-0.020663545,1
0.6284537,0.08765632,1
0.551076,-0.039069694,1
0.1359996,0.30746293,2
0.12381397,-0.07571788,1
0.45456046,-0.20146896,2
0.35122505,-0.05020476,1
0.58991116,-0.13237898,2
-0.21622476,-0.040901516,2
0.13752893,-0.17614421,2
-0.23323098,-0.29537323,2
-0.21242115,-0.21385315,128
0.039781116,0.19295645,8
-0.014416525,-0.21050143,4
0.13237539,-0.08716223,1
0.13781461,-0.08150369,1
-0.052774645,0.3001361,2
0.19907092,0.02971258,1
0.31554163,0.056804545,1
0.5240399,-0.10346672,2
0.51882666,0.09381286,1
-0.17909093,0.2555643,1
0.056520466,-0.07833729,1
-0.19755009,-0.2401104,2
-0.14750004,0.12213592,8
0.18255477,0.15082173,2
-0.12145368,0.11020807,1
0.22066037,0.03683852,2
-0.28005716,0.14947149,2
0.45287576,0.13974051,1
0.44596666,-0.063010156,1
-0.2200402,-0.1641255,14
-0.053946022,-0.19036113,1
-0.29397944,0.1458646,512
-0.0038916108,0.2600469,1
-0.20655565,0.4041482,96
-0.18757237,0.2914782,16
0.23246361,0.528367,1
-0.114466116,0.073820315,1
0.10436564,0.13818312,2
-0.22328238,-0.057041727,1
-0.2804962,-0.12940338,32
-0.27802527,0.15419397,512
0.42252558,0.017996298,1
-0.22259238,-0.09005738,32
0.08540975,-0.15528026,4
0.17695196,0.32267737,1
0.55532265,-0.046562977,2
-0.08851125,-0.14658232,8
0.42979655,-0.23180197,2
-0.19239292,-0.17535321,8
0.18498796,-0.025024088,1
-0.34846663,-0.005792609,4
0.25189674,0.39626396,1
-0.18044284,0.10216558,1
-0.06741313,-0.27160853,2
-0.29544267,0.22780517,2
-0.14635769,0.25732806,4
-0.25379726,0.10334139,2
-0.0055299667,0.116489336,128
-0.22063391,0.13628675,48
-0.13305941,-0.201433,1
-0.2763473,-0.016276684,32
-0.12411681,0.25775513,2
-0.27822402,0.0027492659,128
0.01716486,-0.39153713,1
-0.35741648,0.043748196,1
-0.29977491,-0.116544716,16
0.4217213,0.01990257,1
-0.15223981,-0.10220657,1
-0.31132236,0.3115427,1
-0.007673706,-0.19246644,4
-0.09159713,-0.18121408,2
0.098092966,0.047207896,4
-0.20686768,-0.32579318,16
-0.29543567,-0.18051963,2
-0.108229846,-0.35881925,128
-0.03417354,0.19639024,4
-0.2789915,-0.26610574,1
-0.11527187,0.24606025,2
-0.3190994,0.17817701,408
-0.19138514,-0.07507077,8
0.2256815,-0.11953195,2
0.4179641,-0.09264821,1
-0.10595311,-0.2533222,4
0.18305044,-0.07390854,2
-0.29812786,0.18134166,512
0.6463691,-0.14153914,1
0.37748075,0.14039953,1
-0.07980525,0.18937358,2
-0.009019753,-0.22488394,2
-0.3383746,-0.10591088,4
0.60806257,0.123695284,1
-0.22299562,-0.19217743,1
-0.2114966,-0.17043772,4
-0.24075621,-0.035955384,64
-0.24908772,0.27732375,160
-0.025581772,-0.019866154,2
-0.18005243,-0.01990051,1
-0.0024123383,-0.13196102,8
-0.008358093,-0.039040558,2
0.03874778,-0.023002764,1
-0.1094944,0.12509263,16
-0.17592351,-0.33759937,2
-0.17572838,-0.28599134,1
0.551076,-0.039069694,1
-0.09078775,0.12929888,1
-0.29326203,-0.031186067,4
0.19622932,0.16701844,8
0.13366476,0.29440704,1
0.40503782,-0.024683524,1
0.20649922,0.52797425,1
0.31140733,0.011185689,2
0.41484022,-0.05564183,2
0.64007676,-0.07214378,1
-0.028025756,-0.043268073,4
0.16576304,0.043599155,1
-0.16723861,0.19572447,2
-0.28315,0.06998493,8
-0.028012061,0.44299465,16
-0.2531391,0.1852311,2
-0.21387152,-0.15251563,1
0.2757838,0.01611075,2
-0.11284156,0.115113325,2
-0.02777804,0.38690227,2
0.24053061,-0.03985352,32
-0.1824066,-0.23587866,1
0.39502606,0.10359464,1
0.060370088,0.3603569,1
-0.3735616,-0.0717076,1
0.4817613,-0.09055185,2
-0.1383787,0.11008603,4
-0.4073494,0.012078553,2
0.51453835,-0.08679336,2
-0.39095134,0.16184224,48
-0.10989096,0.30020842,1
0.6425245,-0.1673265,1
-0.07192402,-0.16198778,1
0.42957887,-0.13526054,2
0.08305162,0.051096667,1
0.051442068,-0.20278373,2
0.18670665,0.3622931,1
-0.26853284,0.09863871,256
-0.36851758,0.08945253,1
0.5001278,0.06602901,1
0.44576222,0.01875255,1
